Rk,G,Date,Age,Tm,,Opp,WorL,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
37,,2021/3/4,32-355,GSW,@,PHO,L (-22),Inactive,,,,,,,,,,,,,,,,,,,,,
38,36,2021/3/11,32-362,GSW,@,LAC,L (-26),1,26:40:00,6,16,0.375,1,8,0.125,1,2,0.5,0,4,4,3,2,1,2,1,14,8.4,-19
39,37,2021/3/14,33-000,GSW,,UTA,W (+12),1,35:38:00,10,20,0.5,6,9,0.667,6,7,0.857,1,4,5,9,1,0,3,3,32,26.6,19
40,38,2021/3/15,33-001,GSW,,LAL,L (-31),1,29:13:00,9,17,0.529,4,7,0.571,5,5,1,0,3,3,2,3,0,2,1,27,21.6,-12
41,39,2021/3/17,33-003,GSW,@,HOU,W (+14),1,30:05:00,7,18,0.389,2,11,0.182,2,2,1,0,5,5,8,1,0,2,3,18,13.1,10
42,,2021/3/19,33-005,GSW,@,MEM,W (+13),Did Not Play,,,,,,,,,,,,,,,,,,,,,
43,,2021/3/20,33-006,GSW,@,MEM,L (-8),Did Not Play,,,,,,,,,,,,,,,,,,,,,
44,,2021/3/23,33-009,GSW,,PHI,L (-10),Inactive,,,,,,,,,,,,,,,,,,,,,
45,,2021/3/25,33-011,GSW,@,SAC,L (-22),Did Not Play,,,,,,,,,,,,,,,,,,,,,
46,,2021/3/26,33-012,GSW,,ATL,L (-16),Did Not Play,,,,,,,,,,,,,,,,,,,,,
47,40,2021/3/29,33-015,GSW,,CHI,W (+14),1,30:17:00,11,24,0.458,6,14,0.429,4,5,0.8,1,4,5,6,1,0,1,0,32,25.3,16
48,41,2021/4/1,33-018,GSW,@,MIA,L (-7),1,36:21:00,9,19,0.474,5,11,0.455,13,13,1,2,9,11,3,0,0,3,2,36,28.7,2
49,,2021/4/2,33-019,GSW,@,TOR,L (-53),Did Not Play,,,,,,,,,,,,,,,,,,,,,
50,42,2021/4/4,33-021,GSW,@,ATL,L (-6),1,36:44:00,12,23,0.522,3,12,0.25,10,12,0.833,1,4,5,2,2,1,8,0,37,22.9,8
51,43,2021/4/6,33-023,GSW,,MIL,W (+1),1,37:47:00,14,21,0.667,5,10,0.5,8,9,0.889,2,4,6,4,0,0,4,2,41,32.1,3
52,44,2021/4/9,33-026,GSW,,WAS,L (-3),1,34:52:00,11,25,0.44,5,12,0.417,5,6,0.833,0,6,6,5,3,0,2,0,32,24.8,-16
53,45,2021/4/10,33-027,GSW,,HOU,W (+16),1,34:56:00,13,21,0.619,8,15,0.533,4,4,1,0,8,8,5,1,0,5,3,38,29.2,7
54,46,2021/4/12,33-029,GSW,,DEN,W (+9),1,35:42:00,14,24,0.583,10,18,0.556,15,16,0.938,0,6,6,4,0,0,5,3,53,39.8,16
55,47,2021/4/14,33-031,GSW,@,OKC,W (+38),1,29:23:00,14,20,0.7,11,16,0.688,3,3,1,0,6,6,8,0,0,0,3,42,39.8,31
56,48,2021/4/15,33-032,GSW,@,CLE,W (+18),1,34:35:00,12,25,0.48,4,13,0.308,5,5,1,0,4,4,5,0,2,4,3,33,21.2,5
57,49,2021/4/17,33-034,GSW,@,BOS,L (-5),1,37:09:00,15,27,0.556,11,19,0.579,6,8,0.75,0,7,7,3,0,0,5,2,47,31.7,-7
58,50,2021/4/19,33-036,GSW,@,PHI,W (+11),1,36:55:00,14,28,0.5,10,17,0.588,11,12,0.917,0,3,3,5,0,0,6,2,49,32.2,11
59,51,2021/4/21,33-038,GSW,@,WAS,L (-4),1,36:03:00,7,25,0.28,2,14,0.143,2,2,1,0,7,7,8,1,0,6,2,18,5.2,-23
60,52,2021/4/23,33-040,GSW,,DEN,W (+21),1,33:44:00,11,18,0.611,4,9,0.444,6,6,1,0,8,8,3,0,0,3,3,32,24.1,27
61,53,2021/4/25,33-042,GSW,,SAC,W (+4),1,37:47:00,11,21,0.524,7,14,0.5,8,11,0.727,0,7,7,4,1,1,7,1,37,24.7,7
